38 Provinsi (2022=100),,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) 38 Provinsi (2022=100) (Persen),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
PROV ACEH,0.42,0.71,0.48,0.05,0.15,0.03,-0.11,0.1,-0.52,-0.08,0.37,0.57,-
PROV SUMATERA UTARA,0.4,0.41,0.72,-0.04,0.48,-0.33,-0.82,-0.14,-0.21,0.13,0.54,0.98,-
PROV SUMATERA BARAT,-0.32,1.17,0.64,-0.3,0.51,0.14,-1.07,-0.16,-0.44,0.11,0.27,0.35,-
PROV RIAU,0.11,0.59,0.72,0.05,0.3,-0.22,-0.8,-0.27,-0.33,0.06,0.43,0.62,-
PROV JAMBI,0.83,0.13,0.54,0.18,0.19,-0.13,-0.82,-0.01,-0.17,0.03,0.21,0.46,-
PROV SUMATERA SELATAN,-0.08,0.01,0.25,0.43,0.06,-0.03,-0.29,-0.19,-0.12,0.09,0.58,0.5,-
PROV BENGKULU,0.15,0.79,0.22,0.13,0.3,-0.04,-0.7,-0.18,-0.28,-0.09,0.2,0.34,-
PROV LAMPUNG,-0.19,0.39,0.36,-0.01,0.08,-0.11,-0.16,0.07,0.05,0.2,0.42,0.47,-
PROV KEPULAUAN BANGKA BELITUNG,0.13,0.39,0.04,0.54,-0.32,-0.31,-0.39,0.23,-0.02,-0.18,0.01,0.65,-
PROV KEPULAUAN RIAU,0.51,-0.22,0.46,0.06,0.37,0.28,-0.45,-0.04,0.14,0.06,0.24,0.68,-
PROV DKI JAKARTA,-0.19,0.45,0.37,0.26,-0.1,0.12,-0.06,0.04,-0.1,0.03,0.29,0.37,-
PROV JAWA BARAT,0.15,0.45,0.51,0.15,-0.12,-0.04,0.06,0.07,-0.21,0.02,0.24,0.35,-
PROV JAWA TENGAH,-0.08,0.57,0.6,0.2,-0.22,-0.28,-0.13,-0.07,0.05,0.19,0.26,0.57,-
PROV DI YOGYAKARTA,-0.02,0.39,0.43,0.09,-0.08,-0.25,-0.03,0.05,-0.1,0.09,0.25,0.46,-
PROV JAWA TIMUR,-0.1,0.49,0.64,0.36,-0.21,-0.37,0.04,-0.07,-0.12,0.15,0.24,0.46,-
PROV BANTEN,-0.04,0.52,0.98,0.41,-0.52,-0.08,-0.24,0.01,-0.26,0.14,0.45,0.5,-
PROV BALI,-0.09,0.61,0.93,0.32,-0.1,-0.55,0.1,0.1,0.13,0.07,0.5,0.31,-
PROV NUSA TENGGARA BARAT,0.04,0.09,0.87,0.06,-0.41,-0.26,-0.35,0.06,0.09,0.09,0.56,0.46,-
PROV NUSA TENGGARA TIMUR,0.97,-0.16,-0.14,0.31,-0.24,-0.23,-0.32,-0.25,-0.03,0.26,0.19,0.82,-
PROV KALIMANTAN BARAT,0.37,0.08,0.33,0.69,0.16,-0.29,-0.45,-0.25,0.29,0.04,0.27,0.46,-
PROV KALIMANTAN TENGAH,0.2,-0.46,0.66,0.73,0.22,-0.28,-0.68,-0.39,0.07,0.14,0.36,0.48,-
PROV KALIMANTAN SELATAN,0.55,-0.01,0.62,0.71,-0.01,-0.32,-0.44,-0.36,0.07,0.16,0.5,0.46,-
PROV KALIMANTAN TIMUR,0.25,0.27,0.34,0.7,0.19,-0.05,-0.38,-0.12,0.06,-0.16,0.08,0.31,-
PROV KALIMANTAN UTARA,0.05,0.19,0.42,0.39,0.11,-0.08,-0.01,-0.19,-0.09,0.17,-0.12,0.44,-
PROV SULAWESI UTARA,-0.41,-0.63,1.07,0.17,-0.07,0.47,-0.11,-0.04,-0.54,0.21,0.41,-0.07,-
PROV SULAWESI TENGAH,0.08,0.45,0.55,0.05,0.07,0.18,-0.22,-0.25,0.07,0.01,-0.01,0.32,-
PROV SULAWESI SELATAN,0.36,0.3,0.38,0.15,-0.1,-0.26,-0.18,-0.04,-0.09,0.15,0.17,0.38,-
PROV SULAWESI TENGGARA,-0.03,0.19,0.62,0.47,0.1,-0.09,-0.16,-0.27,-0.2,-0.17,0.29,0.29,-
PROV GORONTALO,-0.91,-1.15,0.81,0.57,0.3,-0.14,-0.95,-0.14,0.39,-0.57,0.46,0.57,-
PROV SULAWESI BARAT,0.08,0.08,0.43,-0.27,-0.07,0.81,-0.45,-0.13,0.33,0.21,-0.17,0.66,-
PROV MALUKU,0.19,-1.19,-0.46,0.29,1.89,1.33,-0.82,-0.34,-0.07,0.65,0.25,-0.41,-
PROV MALUKU UTARA,-0.02,-0.42,0.48,0.44,0.59,0.16,-0.06,0.08,0.56,-1.05,0.43,0.31,-
PROV PAPUA BARAT,0.63,0.13,0.5,0.17,1.35,-0.27,0.13,0.31,-0.92,-0.59,0.74,0.34,-
PROV PAPUA BARAT DAYA,0.13,-0.11,0.37,0.73,0.09,0.29,0.25,-0.05,0.47,-0.15,-0.04,-0.11,-
PROV PAPUA,0.01,-0.73,-0.19,1.2,0.61,0.35,-0.67,-0.08,-0.41,0.22,1.41,0.05,-
PROV PAPUA SELATAN,0.57,0.08,-0.17,0.33,2,-1.11,-0.92,0.25,-0.74,0.01,0.26,1.24,-
PROV PAPUA TENGAH,0.43,-1.17,1.01,1.2,1.43,-0.17,0.12,-0.24,-0.44,0.48,0.37,0.23,-
PROV PAPUA PEGUNUNGAN,1.01,-0.49,0.02,1.06,1.1,2.11,-0.44,-0.02,-0.6,-0.7,-0.15,2.39,-
INDONESIA,0.04,0.37,0.52,0.25,-0.03,-0.08,-0.18,-0.03,-0.12,0.08,0.3,0.44,-